,Country,GENC,Year,Continent,Income,Area in Square Kilometers,Population,Annual Growth Rate %,Rate of Natural Increase,Population Density (People per Sq. Km.),Natural Increase,Total Fertility Rate,Crude Birth Rate,Gross Reproduction Rate,LifeExp,"Infant Mortality Rate, Both Sexes",Crude Death Rate,"Deaths, both sexes",Net Migration Rate,"Net international migrants, both sexes",Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
950,Nepal,NP,2020,Asia,LM,143351,30175326,0.84,1.24,210.5,375080,1.96,18,0.95,71.8,26.3,5.6,168266,-4,-121878,30.9,5.4,18.7,27,21.4,21.1
951,Netherlands,NL,2020,Europe,H,33893,17400890,0.39,0,513.4,3,1.54,9.7,0.75,81.2,3.8,9.7,168678,3.9,68360,73.99,36.79,56.19,56.06,78.08,89.13
952,New Zealand,NZ,2020,Oceania,H,264537,4925334,1.39,0.59,18.6,29031,1.87,12.8,0.91,82.1,3.6,7,34219,8,39276,73.27,36.67,55.73,65.6,68.67,95.7
953,Nigeria,NG,2020,Africa,LM,910768,213986428,2.53,2.55,235,5452593,4.72,34.6,2.29,60.4,59.8,9.1,1946159,-0.2,-45204,36.6,27.1,32,36.1,28.9,13.3
954,North Macedonia,MK,2020,Europe,UM,25433,2125463,0.13,0.1,83.6,2036,1.5,10.6,0.73,76.3,7.7,9.7,20552,0.4,816,34.5,8.2,22,27,27.2,38.4
955,Norway,NO,2020,Europe,H,304282,5381527,0.44,0.23,17.7,12441,1.48,9.8,0.72,83.2,1.7,7.5,40538,2.1,11331,101.45,38.25,71.2,91.05,109.68,89.38
956,Oman,OM,2020,Asia,H,309500,3624823,1.93,1.98,11.7,71619,2.76,23,1.35,76.4,15.1,3.3,11884,-0.4,-1555,51.1,20.3,36.3,45.9,47.7,82.7
957,Pakistan,PK,2020,Asia,LM,770875,233431156,2.04,2.12,302.8,4954710,3.6,27.4,1.76,69.1,56.6,6.2,1446951,-0.9,-202677,23.13,5.13,14.5,20.63,18.13,29.33
958,Panama,PA,2020,North America,UM,74340,4210487,1.32,1.26,56.6,52977,2.43,18.6,1.18,77.4,16.9,6,25107,0.6,2398,57.2,27.4,43,56.9,51.5,35.2
959,Paraguay,PY,2020,South America,UM,397302,7188930,1.16,1.17,18.1,84104,1.89,16.5,0.92,77.9,24.5,4.8,34618,-0.1,-504,31.2,10.1,21.1,25.5,25.4,33.3
960,Peru,PE,2020,South America,UM,1279996,31867270,1.01,0.68,24.9,217972,2.26,17.7,1.1,69.8,10.6,10.9,346810,3.2,103017,42.6,15.7,29.7,38,28.6,31.7
961,Philippines,PH,2020,Asia,LM,298170,110461801,2.54,2.18,370.5,2402727,3.46,27.8,1.69,70.8,22,6,662051,3.6,398187,38.7,17.25,28.45,33.2,25.7,24.85
962,Poland,PL,2020,Europe,H,304255,38375246,-0.31,-0.33,126.1,-124999,1.39,9.2,0.68,76.3,5,12.4,477355,0.1,4500,40.15,15.43,28.32,30.62,33.64,60.39
963,Portugal,PT,2020,Europe,H,91470,10288283,-0.25,-0.28,112.5,-29131,1.41,8.1,0.69,81.1,2.6,10.9,112112,0.3,3420,50.6,21.8,36.83,40.9,41.4,49.45
964,Puerto Rico,PR,2020,North America,H,8869,3190410,-1.55,-0.14,359.7,-4441,1.22,7.9,0.59,81.3,6.3,9.3,29697,-14.1,-44837,70.1,23.6,47.9,66,72.1,80
965,Qatar,QA,2020,Asia,H,11586,2447179,1.44,0.8,211.2,19632,1.9,9.5,0.94,79.3,7,1.4,3496,6.4,15596,64,47.3,56,53.7,65.7,107.6
966,Romania,RO,2020,Europe,UM,229891,18986068,-1.16,-0.63,82.6,-118764,1.69,9.4,0.82,74.8,6,15.7,297345,-5.3,-101022,36.09,9.62,23.44,30.15,31.34,49.11
967,Saudi Arabia,SA,2020,Asia,H,2149690,34223743,1.62,1.16,15.9,397419,1.99,15,0.97,76.2,12.9,3.4,115080,4.6,158485,49.03,12.3,31.47,38.7,33.97,97.5
968,Serbia,RS,2020,Europe,UM,77474,6856660,-0.8,-0.8,88.5,-55158,1.45,9,0.71,73.9,4.9,17,116850,0,0,35.9,8.77,22.93,25.93,29.73,37.7
969,Singapore,SG,2020,Asia,H,709,5810285,0.97,0.54,8195,31205,1.14,9.2,0.56,86,1.6,3.8,22301,4.3,25000,81.1,63.3,72.6,66.8,59,89
970,Slovenia,SI,2020,Europe,H,20151,2102452,0,-0.16,104.3,-3297,1.59,8.7,0.78,81.4,1.5,10.3,21617,1.5,3237,52.25,16.35,35.1,41.9,44.55,69.8
971,South Africa,ZA,2020,Africa,UM,1214470,58012938,1.07,1.14,47.8,658348,2.42,19.9,1.2,68.2,27.3,8.6,496936,-0.7,-39158,44.3,18.18,31.83,33.93,41.38,74.18
972,Spain,ES,2020,Europe,H,498980,47041387,0.13,-0.33,94.3,-153724,1.24,7.2,0.61,82.1,2.5,10.5,492930,4.6,216244,54.07,22.95,39.21,43.22,53.57,69.37
973,Sri Lanka,LK,2020,Asia,LM,64630,21367989,0.91,0.81,330.6,174025,2.18,14.8,1.06,77.1,6.9,6.6,141141,0.9,19881,34.3,11,23.1,38.6,21.1,22.6
974,Suriname,SR,2020,South America,UM,156000,618093,1.2,0.94,4,5783,1.96,15.9,0.95,72.1,30.9,6.5,4026,2.6,1608,43.1,7.8,26.2,45.8,35,22.9
975,Sweden,SE,2020,Europe,H,410335,10382678,0.47,0.14,25.3,14890,1.66,10.9,0.8,82.5,2.3,9.5,98124,3.2,33581,73.18,30.28,52.65,63.7,78.3,89.93
976,Switzerland,CH,2020,Europe,H,39997,8585698,0.74,0.11,214.7,9719,1.52,10,0.73,83.1,3.5,8.9,76195,6.3,53804,122.56,53.42,89.48,120.16,121.32,120.4
977,Thailand,TH,2020,Asia,UM,510890,69291926,0.29,0.28,135.6,194975,1.54,10.4,0.75,77.2,6.7,7.6,524026,0.1,4218,50.85,17.95,35.1,51.15,27.93,31.88
978,Tunisia,TN,2020,Africa,LM,155360,11719458,0.81,0.95,75.4,110817,2.06,15.8,1,76.3,12.5,6.3,74358,-1.4,-15869,28.3,6.4,17.9,26.3,16.6,34.3
979,Ukraine,UA,2020,Europe,LM,579330,43508029,-0.58,-0.81,75.1,-351325,1.22,7.7,0.59,71.2,8.4,15.8,687808,2.3,100000,33,9.73,21.9,26.09,25.92,31.21
980,United Arab Emirates,AE,2020,Asia,H,83600,9792173,0.69,0.95,117.1,92780,1.66,10.9,0.81,79.2,5.3,1.5,14308,-2.5,-24803,57.88,40.78,49.68,44.5,53.13,79.95
981,United Kingdom,GB,2020,Europe,H,241930,67022855,0.61,0.18,277,118606,1.62,10.7,0.79,81.7,3.9,9,601510,4.3,289367,68.2,31.04,50.43,53.12,74.45,92.68
982,United States,US,2020,North America,H,9151125,331511512,--,--,36.2,--,--,--,--,--,--,--,--,--,--,73.57,46.61,60.67,69.16,73.38,119.77
983,Uruguay,UY,2020,South America,H,175015,3389361,0.26,0.35,19.4,11834,1.77,12.8,0.87,77.9,8.7,9.3,31560,-0.9,-3000,51.6,15.3,34.2,40.9,47.1,40.4
984,Uzbekistan,UZ,2020,Asia,LM,425400,34014838,1.92,1.96,80,666372,2.97,24.8,1.43,75.4,19.6,5.2,175445,-0.4,-12544,26.9,7.6,17.6,22.6,21.6,25
985,Vietnam,VN,2020,Asia,LM,310070,101745119,1.04,1.06,328.1,1082359,2.08,16.4,0.98,75,15.4,5.8,589513,-0.2,-24544,39.05,14.05,27.1,37.8,20.2,27.8
986,Afghanistan,AF,2021,Asia,L,652230,37466414,2.34,2.35,57.4,880860,4.72,36.1,2.3,53.3,106.8,12.6,470855,-0.1,-3581,27.5,4.3,16.4,19,20.2,26.5
987,Albania,AL,2021,Europe,UM,27398,3088385,0.24,0.56,112.7,17258,1.53,12.9,0.74,79.2,11.1,7.3,22450,-3.2,-10000,42.1,11.2,27.4,34.4,31.6,27.4
988,Algeria,DZ,2021,Africa,LM,2381740,44741234,1.78,1.8,18.8,806011,3.03,22.4,1.48,77.5,18.9,4.3,194254,-0.2,-8711,30.5,7.4,19.4,31,16.9,23.7
989,Argentina,AR,2021,South America,UM,2736690,45864941,0.84,0.84,16.8,387005,2.2,15.8,1.06,78.1,9.6,7.4,337597,-0.1,-3819,39.2,10.6,25.5,29.9,35.2,35.3
990,Armenia,AM,2021,Asia,UM,28203,3011609,-0.35,0.2,106.8,5935,1.65,11.5,0.79,75.9,12.5,9.5,28560,-5.4,-16338,32,10.3,21.6,24.8,27.9,27.1
991,Australia,AU,2021,Oceania,H,7682300,25809973,1.31,0.56,3.4,143670,1.74,12.4,0.84,82.9,3.1,6.8,175048,7.5,193350,84.31,41.36,63.8,81.49,78.65,101.7
992,Austria,AT,2021,Europe,H,82445,8884864,0.32,-0.04,107.8,-3274,1.5,9.5,0.73,82.1,3.3,9.9,87526,3.6,31678,77.53,29.8,54.73,71.13,70.23,76.95
993,Azerbaijan,AZ,2021,Asia,UM,82629,10513772,0.44,0.45,127.2,46858,1.69,12.1,0.78,73.1,13.8,7.6,79927,-0.1,-645,32.6,10.1,21.9,27.4,31.3,26.6
994,Bahrain,BH,2021,Asia,H,760,1526929,0.9,0.97,2009.1,14786,1.68,12.5,0.83,79.7,10.5,2.8,4295,-0.7,-1016,58.2,29.1,44.3,46.3,52.5,49.1
995,Bangladesh,BD,2021,Asia,LM,130170,164098818,0.95,1.24,1260.7,2040678,2.1,17.9,1.03,74.4,31.1,5.4,893501,-2.9,-480958,33.7,5,19.95,32,20.6,24
996,Belarus,BY,2021,Europe,UM,202900,9607168,-0.32,-0.44,47.3,-42219,1.44,9,0.7,74.2,2.2,13.4,128750,1.2,11345,32.1,11.3,22.1,27.8,32.8,33.3
997,Belgium,BE,2021,Europe,H,30278,11778842,0.59,0.13,389,15623,1.77,11,0.86,81.7,3.2,9.7,114330,4.6,53952,78.7,28.85,54.88,67.38,84,79.88
998,Bermuda,BM,2021,North America,H,54,72084,0.36,0.21,1334.9,149,1.91,11.1,0.93,81.8,2.2,9,651,1.5,111,146.3,89.1,119,153.3,145.4,91.2
999,Bolivia,BO,2021,South America,LM,1083301,11917267,1.17,1.27,11,151475,2.39,19.1,1.17,72.5,22.3,6.4,76594,-1,-11759,40.15,12.1,26.75,35.15,28.25,36.8
1000,Botswana,BW,2021,Africa,UM,566730,2350667,1.43,1.15,4.1,26982,2.42,20.6,1.19,65.2,26,9.1,21444,2.9,6700,42.8,11.6,27.9,35.8,48.3,60.1
1001,Brazil,BR,2021,South America,UM,8358140,215903281,0.54,0.55,25.8,1188913,1.6,12.5,0.78,75.2,14.1,7,1514110,-0.1,-26142,32.19,8.42,20.84,25.36,23.55,28.73
1002,Bulgaria,BG,2021,Europe,UM,108489,6919180,-0.67,-0.64,63.8,-44115,1.49,8.2,0.72,75.3,8.1,14.5,100486,-0.3,-2000,41.6,10.08,26.55,35.65,34.03,40.28
1003,Cambodia,KH,2021,Asia,LM,176515,16528811,1.13,1.41,93.6,232371,2.28,19.9,1.11,70.3,30.4,5.8,96261,-2.7,-45114,49.1,17,33.8,51.2,24.8,14.5
1004,Canada,CA,2021,North America,H,9093507,37943231,0.77,0.21,4.2,81063,1.57,10.2,0.76,83.6,4.4,8.1,306480,5.6,210660,71.52,35.06,54.1,69.93,66.62,89.46
1005,Chile,CL,2021,South America,H,743812,18307925,0.68,0.65,24.6,118095,1.76,12.9,0.86,79.6,6.7,6.5,118409,0.3,6000,50.6,15.7,33.9,42.5,48.5,33.2
1006,China,CN,2021,Asia,UM,9326410,1407098834,0.3,0.3,150.9,4169164,1.5,10.6,0.71,77.7,6.8,7.7,10779539,0,0,47.36,23.2,35.84,52.5,30.7,54.96
1007,Colombia,CO,2021,South America,UM,1038700,48757939,0.64,0.77,46.9,376778,1.95,15.4,0.95,74.9,11.7,7.6,371685,-1.3,-63795,30.96,9.46,20.7,25.76,21.64,27.52
1008,Costa Rica,CR,2021,North America,UM,51060,5157007,0.58,0.43,101,22275,1.34,10.5,0.66,77.5,8.5,6.2,32015,1.5,7529,52.1,16.3,35,50.3,41.9,44.1
1009,Croatia,HR,2021,Europe,H,55974,4208973,-0.48,-0.41,75.2,-17259,1.44,8.7,0.7,77,8.9,12.8,53808,-0.7,-3126,60.82,17.62,40.15,53.2,54.72,41.6
1010,Cuba,CU,2021,North America,UM,109820,11032343,-0.23,0.1,100.5,11370,1.71,10.3,0.83,79.4,4.2,9.2,101681,-3.3,-36621,55.3,15.3,36.2,44.8,35.1,1.5
1011,Cyprus,CY,2021,Europe,H,9241,1281506,1.11,0.39,138.7,4936,1.48,10.8,0.72,79.5,8.6,6.9,8847,7.3,9340,64.33,22.08,44.1,53.03,62.23,52.6
1012,Denmark,DK,2021,Europe,H,42434,5894687,0.44,0.17,138.9,9823,1.77,11.2,0.86,81.5,3.1,9.5,56003,2.7,16140,92.68,36.25,65.75,75.28,104.13,90.23
1013,Dominican Republic,DO,2021,North America,UM,48320,10585919,0.67,0.94,219.1,99664,2.1,17,1.03,70.3,24.7,7.6,80735,-2.7,-28711,42.9,11.3,27.8,37.6,34.2,22.9
1014,Ecuador,EC,2021,South America,UM,248360,17761236,1.09,1.15,71.5,204961,2.31,18.5,1.13,74.9,11.2,7,123592,-0.7,-11817,40.57,12.83,27.3,36.77,28.6,30.17
1015,El Salvador,SV,2021,North America,LM,20721,6528135,0.67,1.23,315,80371,2.07,18.2,1.01,75.1,12.4,5.9,38589,-5.6,-36342,46.7,14.4,31.3,45.9,33.5,21
1016,Estonia,EE,2021,Europe,H,42388,1220042,-0.69,-0.4,28.8,-4913,1.61,9,0.79,77.6,3.5,13.1,15929,-2.9,-3476,57.95,17.05,38.35,45.35,58.9,59.25
1017,Ethiopia,ET,2021,Africa,L,1096570,110408120,2.2,2.23,100.7,2457004,4.07,31.1,2,61.7,44.4,8.9,977440,-0.2,-26180,58.9,15.4,38.1,38.5,20.6,10.3
1018,Fiji,FJ,2021,Oceania,UM,18274,939535,0.46,1.06,51.4,9955,2.28,16.9,1.11,74,10.3,6.3,5925,-6,-5659,46.2,17.7,32.6,48.9,37.3,32.9
1019,Finland,FI,2021,Europe,H,303815,5587442,0.26,0.02,18.4,901,1.74,10.5,0.85,81.6,2.2,10.3,57727,2.5,13722,79.48,28.78,55.26,70.3,82.18,91.18
1020,France,FR,2021,Europe,H,640427,67945112,0.22,0.11,106.1,77521,1.91,11,0.93,82.3,3.2,9.9,671286,1.1,72910,80.9,29.13,56.17,76.77,74.41,70.51
1021,Georgia,GE,2021,Asia,UM,69700,4988990,-0.68,-0.16,71.6,-7956,1.98,12.9,0.96,71.3,24.4,14.5,72341,-5.2,-25966,28.7,11.1,20.3,24.3,25.9,27.2
1022,Germany,DE,2021,Europe,H,348672,84409193,-0.11,-0.29,242.1,-240719,1.57,9.1,0.76,81.3,3.2,12,1012374,1.8,150000,71.72,30.06,51.82,54.62,67.65,94.48
1023,Ghana,GH,2021,Africa,LM,227533,32372889,2.26,2.28,142.3,737472,3.71,29.1,1.83,69,33.3,6.3,203812,-0.2,-5430,42.2,21.2,32.2,43.7,31.6,17.6
1024,Greece,GR,2021,Europe,H,130647,10569703,-0.34,-0.43,80.9,-45765,1.39,7.7,0.67,81.3,3.6,12.1,127315,1,10211,61.35,13.68,38.55,47.33,52.75,40.1
1025,Guatemala,GT,2021,North America,UM,107159,17422821,1.62,1.79,162.6,311004,2.67,22.8,1.3,72.6,26.8,4.9,86055,-1.7,-29364,46.2,15.3,31.5,42.3,33.9,25.4
1026,Hungary,HU,2021,Europe,H,89608,9971543,-0.66,-0.69,111.3,-69050,1.59,9.4,0.77,74,5.2,16.3,162240,0.4,3694,42.63,13.03,28.47,35.9,33.8,49.37
1027,Iceland,IS,2021,Europe,H,100250,354234,0.97,0.66,3.5,2323,1.96,13.1,0.96,83.5,1.7,6.6,2324,3.1,1094,98.8,48.3,74.7,89.3,111,69.8
1028,India,IN,2021,Asia,LM,2973193,1380721926,0.62,0.6,464.4,8259654,2.13,17.1,1.01,66.8,30.3,11.1,15343236,0.2,279829,25.81,6.1,16.39,27.31,18.08,47.92
1029,Indonesia,ID,2021,Asia,LM,1811569,275122131,0.81,0.89,151.9,2434363,2.04,15.6,1,72.8,20.2,6.7,1854453,-0.7,-197782,39.74,12.3,26.64,42.58,20.16,18.42
1030,Iraq,IQ,2021,Asia,UM,437367,39650145,2.06,2.13,90.7,843969,3.32,25.2,1.62,72.9,20.1,3.9,155490,-0.7,-26948,34.55,11.05,23.3,28.35,26.2,37.6
1031,Ireland,IE,2021,Europe,H,68883,5070166,0.72,0.5,73.6,25388,1.72,11.5,0.84,82.6,3.1,6.5,33055,2.2,11200,83.5,47.25,66.18,70.05,81.65,70.28
1032,Israel,IL,2021,Asia,H,21497,8968042,1.6,1.4,417.2,125759,3,19.7,1.46,81.9,3.1,5.7,51211,2,18000,87.53,35.1,62.5,73.6,93.7,68.9
1033,Italy,IT,2021,Europe,H,294140,61196793,-0.2,-0.48,208.1,-294720,1.2,6.9,0.59,82.1,3.3,11.7,716961,2.9,174300,73.25,24.13,49.77,63.16,72.66,57.54
1034,Jamaica,JM,2021,North America,UM,10831,2816602,0.06,0.86,260.1,24252,2.06,16,1.01,75.5,11.4,7.4,20902,-8,-22466,55.1,16.9,36.8,57.2,33.7,31.7
1035,Japan,JP,2021,Asia,H,364485,124687293,-0.37,-0.44,342.1,-553795,1.38,7,0.67,84.7,1.9,11.4,1426219,0.8,92997,91.57,43.9,68.83,97.4,49.3,67.37
1036,Jordan,JO,2021,Asia,UM,88802,10909567,0.82,1.94,122.9,211155,3,22.8,1.46,75.8,14.3,3.4,37507,-11.2,-121822,54.8,10.9,33.8,44.4,48.9,31.4
1037,Kazakhstan,KZ,2021,Asia,UM,2699700,19707245,0.99,1.03,7.3,202623,2.6,18.5,1.26,72.5,8.4,8.2,162408,-0.4,-8088,31.15,10.25,21.15,26.55,28.35,37.75
1038,Kenya,KE,2021,Africa,LM,569140,54685051,2.15,2.17,96.1,1186275,3.36,26.8,1.66,69.3,28.8,5.1,278420,-0.2,-10691,38.5,12.3,26,35.4,32.8,25.4
1039,Kuwait,KW,2021,Asia,H,17818,3032065,1.2,1.57,170.2,47501,2.25,17.9,1.1,78.9,7.6,2.2,6776,-3.7,-11072,49.4,31.8,41,36.6,44.9,65.3
1040,Latvia,LV,2021,Europe,H,62249,1862687,-1.1,-0.57,29.9,-10555,1.54,9,0.75,75.7,4.9,14.6,27252,-5.3,-9909,55.4,15.9,36.5,42.1,52.3,46.7
1041,Lebanon,LB,2021,Asia,LM,10230,5261372,0.68,0.78,514.3,40961,1.71,13.4,0.83,78.5,7.2,5.6,29289,-1,-5000,83.6,25.4,55.8,82.1,72.3,24.9
1042,Lithuania,LT,2021,Europe,H,62680,2711566,-1.04,-0.56,43.3,-15262,1.61,9.4,0.78,75.6,3.7,15.1,40798,-4.8,-12874,49.03,14.27,32.4,38.1,46.93,56.4
1043,Luxembourg,LU,2021,Europe,H,2586,639589,1.7,0.44,247.3,2785,1.63,11.6,0.79,82.8,3.3,7.3,4644,12.7,8092,89.6,63.3,77,82,95,100.5
1044,Malaysia,MY,2021,Asia,UM,328657,33519406,1.06,0.91,102,303687,1.76,14.7,0.85,75.9,6.7,5.7,189583,1.5,50000,42.08,11.88,27.66,45.4,23.26,56.24
1045,Malta,MT,2021,Europe,H,316,460891,0.75,0.15,1458.5,679,1.5,9.8,0.73,83,4.6,8.4,3856,6,2782,82.9,40.95,62.85,71.3,89.05,35.65
1046,Mexico,MX,2021,North America,UM,1943945,128569498,0.4,0.47,66.1,603526,1.62,13.1,0.79,71.1,11.7,8.4,1084718,-0.8,-96216,36.61,12.8,25.22,35.14,31.59,36.69
1047,Moldova,MD,2021,Europe,UM,32891,3563449,-0.57,-0.67,108.3,-23879,1.23,8.4,0.59,69,14.8,15.1,53923,1,3544,34.1,9.8,22.5,27,27.7,27.5
1048,Mongolia,MN,2021,Asia,LM,1553556,3198913,0.93,1,2.1,32119,1.93,16.3,0.94,71.1,20.6,6.3,20103,-0.8,-2500,33.4,11.1,22.8,33.1,24,27.2
1049,Montenegro,ME,2021,Europe,UM,13452,607414,-0.4,0.1,45.2,595,1.82,11.4,0.89,77.5,3.3,10.4,6297,-5,-3005,42.6,12,28,33.8,32.4,34.8
1050,Morocco,MA,2021,Africa,LM,716550,36400581,0.94,1.11,50.8,405548,2.31,17.7,1.13,73.4,19.7,6.6,239916,-1.8,-63961,39.26,11.56,26.06,33.96,30.48,29.62
1051,Mozambique,MZ,2021,Africa,L,786380,30888034,2.58,2.75,39.3,847740,4.89,38,2.41,56.5,63,10.6,327068,-1.6,-50000,37.6,16.1,27.3,29.5,34.7,16.4
1052,Namibia,,2021,Africa,UM,823290,2669568,1.6,1.6,3.2,42632,3.03,25.3,1.49,61.1,30.2,9.3,24867,0,0,41.1,16.2,29.2,38.9,34.1,58.9
1053,Nepal,NP,2021,Asia,LM,143351,30424878,0.81,1.22,212.2,371347,1.93,17.8,0.94,72.1,25.7,5.6,169607,-4.1,-125445,31.2,5.2,18.8,29.1,23.1,20.6
1054,Netherlands,NL,2021,Europe,H,33893,17493062,0.66,0.04,516.1,7704,1.6,10.2,0.78,81.3,3.8,9.8,170802,6.2,108276,79.82,38.92,60.28,62.08,82.49,84.88
1055,New Zealand,NZ,2021,Oceania,H,264537,4991442,1.28,0.59,18.9,29537,1.87,12.8,0.91,82.3,3.5,6.9,34508,6.9,34372,81.2,37.55,60.33,77.4,72.88,84.1
1056,Nigeria,NG,2021,Africa,LM,910768,219463862,2.53,2.55,241,5594068,4.67,34.4,2.27,60.9,58.2,8.9,1951801,-0.2,-46587,35.7,37.8,36.7,36.5,27.1,9.8
1057,North Macedonia,MK,2021,Europe,UM,25433,2128262,0.13,0.09,83.7,1928,1.51,10.6,0.73,76.6,7.5,9.7,20534,0.4,816,37.4,9.1,23.9,31,25.9,32.8
1058,Norway,NO,2021,Europe,H,304282,5410267,0.62,0.26,17.8,14058,1.56,10.4,0.76,83.2,1.8,7.8,42002,3.6,19650,107.66,38.76,74.78,101.6,110.48,80.22
1059,Oman,OM,2021,Asia,H,309500,3694755,1.89,1.93,11.9,71411,2.73,22.6,1.33,76.6,14.8,3.3,12013,-0.4,-1610,52.3,19,36.4,49,46.1,90.3
1060,Pakistan,PK,2021,Asia,LM,770875,238181034,1.99,2.09,309,4965999,3.53,27,1.72,69.4,55.3,6.1,1453709,-0.9,-218277,22.76,4.68,14.1,19.44,18.52,24.5
1061,Panama,PA,2021,North America,H,74340,4271368,1.55,1.19,57.5,50854,2.41,18.3,1.17,76.8,17.7,6.4,27155,3.6,15533,58.6,26.2,43.1,58.4,56.3,31
1062,Paraguay,PY,2021,South America,UM,397302,7272639,1.15,1.16,18.3,84322,1.89,16.4,0.92,78.1,23.8,4.8,35198,-0.1,-504,31.4,10.2,21.3,24.6,25.2,28.5
1063,Peru,PE,2021,South America,UM,1279996,32110270,0.51,0.58,25.1,184778,2.23,17.5,1.09,68.9,10.8,11.7,376054,-0.6,-19767,39.2,15.8,28,36.9,26.7,27.1
1064,Philippines,PH,2021,Asia,LM,298170,112771402,1.61,1.58,378.2,1783611,2.79,22.4,1.36,69.8,22.3,6.6,739828,0.3,34677,46.64,17.6,32.78,48.16,23.32,20
1065,Poland,PL,2021,Europe,H,304255,38184917,-0.68,-0.69,125.5,-264659,1.3,8.4,0.63,73.7,5.8,15.3,584265,0.1,4500,42.09,18.05,30.62,33.35,34.2,46.08
1066,Portugal,PT,2021,Europe,H,91470,10263850,-0.23,-0.29,112.2,-29517,1.42,8,0.69,81.3,2.5,10.9,111868,0.6,6362,53.52,21.77,38.33,43.48,42.52,46.58
1067,Puerto Rico,PR,2021,North America,H,8869,3142779,-1.46,-0.16,354.4,-5131,1.23,7.9,0.6,81.5,6.2,9.5,29961,-13,-40852,71.7,28.5,51.1,74,66.2,72.9
1068,Qatar,QA,2021,Asia,H,11586,2479995,1.23,0.8,214.1,19744,1.9,9.4,0.94,79.6,6.7,1.4,3530,4.3,10660,64.1,46.8,55.9,56.6,62.7,89
1069,Romania,RO,2021,Europe,H,229891,18748356,-1.36,-0.88,81.6,-164718,1.63,8.9,0.79,73.4,6.7,17.7,331628,-4.9,-90920,39.28,10.64,25.6,34,33.32,46.65
1070,Rwanda,RW,2021,Africa,L,24668,12943132,1.8,2.12,524.7,274698,3.42,27.2,1.69,65.5,27.2,6,77068,-3.3,-42308,34.3,16.6,25.8,28.9,29.9,21.2
1071,Saudi Arabia,SA,2021,Asia,H,2149690,34783757,1.62,1.12,16.2,388670,1.95,14.6,0.95,76.4,12.6,3.4,117870,5,175454,51.17,13.2,33.03,42.23,34.6,80.2
1072,Serbia,RS,2021,Europe,UM,77474,6796857,-0.95,-0.95,87.7,-64447,1.46,9,0.71,72.9,5.2,18.4,125365,0,0,39.1,9.87,25.13,29.77,31.13,36.7
1073,Singapore,SG,2021,Asia,H,709,5866139,0.95,0.52,8273.8,30503,1.15,9.1,0.56,86.2,1.6,3.9,23083,4.3,25000,85.6,64.8,75.6,75.3,62.1,83.6
1074,Slovenia,SI,2021,Europe,H,20151,2102106,-0.03,-0.18,104.3,-3868,1.59,8.5,0.78,81.6,1.5,10.3,21734,1.5,3237,59.3,18.55,39.8,50.3,48.25,60.9
1075,South Africa,ZA,2021,Africa,UM,1214470,58576104,0.87,0.92,48.2,537934,2.38,19.4,1.18,66,27,10.2,596887,-0.5,-30794,43.2,16.2,30.33,34.88,37.48,69.5
1076,Spain,ES,2021,Europe,H,498980,47103121,0.13,-0.32,94.4,-149754,1.26,7.2,0.62,82.3,2.5,10.3,487025,4.5,210702,60.13,24.7,43.2,50.08,57.7,62.78
1077,Sri Lanka,LK,2021,Asia,LM,64630,21561725,0.9,0.74,333.6,158693,2.17,14.7,1.06,76.3,6.9,7.3,157726,1.6,34872,34.3,13.1,24.2,39.1,19.8,20
1078,Suriname,SR,2021,South America,UM,156000,625420,1.16,0.9,4,5655,1.94,15.6,0.94,72.3,30.6,6.5,4093,2.6,1608,51,10.3,31.6,50.4,58.5,17.5
1079,Sweden,SE,2021,Europe,H,410335,10432235,0.49,0.14,25.4,14957,1.67,10.9,0.8,82.6,2.3,9.4,98506,3.4,35686,82.46,33.3,58.98,74.72,84.48,86.68
1080,Switzerland,CH,2021,Europe,H,39997,8653376,0.83,0.21,216.4,18452,1.58,10.4,0.77,83.6,3,8.2,71192,6.2,53382,131.9,56.4,95.83,131.62,128.08,109.47
1081,Tanzania,TZ,2021,Africa,LM,885800,62092761,2.81,2.86,70.1,1772576,4.45,33.7,2.19,69.9,31.5,5.2,320753,-0.4,-27386,35.8,19.4,28,30.9,21.2,14.5
1082,Thailand,TH,2021,Asia,UM,510890,69480520,0.26,0.26,136,180382,1.54,10.3,0.75,77.4,6.6,7.7,532113,0,-2388,51.4,18.5,35.68,53.13,27.9,28.63
1083,Tunisia,TN,2021,Africa,LM,155360,11811335,0.75,0.89,76,104676,2.03,15.2,0.98,76.6,12.2,6.4,74960,-1.3,-15869,32.95,8.6,21.3,30.85,19.2,25.3
1084,Uganda,UG,2021,Africa,L,197100,44712143,3.31,3.64,226.9,1628831,5.45,41.6,2.68,68.6,31.5,5.2,231253,-3.4,-150626,35,9.3,22.7,31,26.1,14
1085,Ukraine,UA,2021,Europe,LM,579330,43127334,-1.18,-1.16,74.4,-498538,1.22,7.5,0.59,68.3,9.8,19.1,823756,-0.3,-11527,28.96,8.15,19.02,24.58,22.12,29.58
1086,United Arab Emirates,AE,2021,Asia,H,83600,9856612,0.62,0.94,117.9,92281,1.65,10.9,0.8,79.4,5.3,1.5,14889,-3.2,-31381,58.63,37.3,48.43,46.33,57.55,75.15
